CLUESmallArea,Numberofpatrons,typeOfPlace
Melbourne (CBD),100,BAR
Melbourne (CBD),370,BAR
Melbourne (CBD),190,CLUB
Melbourne (CBD),100,BAR
Melbourne (CBD),375,BAR
Melbourne (CBD),302,BAR
Melbourne (CBD),10,BAR
Melbourne (CBD),550,HOTEL
Melbourne (CBD),160,CLUB
Melbourne (CBD),120,CLUB
Melbourne (CBD),60,BAR
Melbourne (CBD),143,BAR
Melbourne (CBD),200,BAR
Melbourne (CBD),100,RESTAURANT
Melbourne (CBD),100,BAR
Melbourne (CBD),1500,BAR
Melbourne (CBD),660,CLUB
Melbourne (CBD),600,HOTEL
Melbourne (CBD),200,BAR
Melbourne (CBD),200,BAR
Melbourne (CBD),329,BAR
Melbourne (CBD),202,BAR
Melbourne (CBD),90,BAR
Melbourne (CBD),100,BAR
Melbourne (CBD),200,BAR
Melbourne (CBD),400,BAR
Melbourne (CBD),300,HOTEL
Melbourne (CBD),209,CLUB
Melbourne (CBD),450,HOTEL
Melbourne (CBD),500,BAR
Melbourne (CBD),366,HOTEL
Melbourne (CBD),98,BAR
Melbourne (CBD),331,BAR
Melbourne (CBD),414,HOTEL
Melbourne (CBD),80,HOTEL
Melbourne (CBD),894,HOTEL
Melbourne (CBD),300,CLUB
Melbourne (CBD),152,BAR
Melbourne (CBD),150,CLUB
Melbourne (CBD),400,HOTEL
Melbourne (CBD),550,RESTAURANT
Melbourne (CBD),110,BAR
Melbourne (CBD),1500,BAR
Melbourne (CBD),350,RESTAURANT
Melbourne (CBD),840,HOTEL
Melbourne (CBD),164,BAR
Melbourne (CBD),100,BAR
Melbourne (CBD),360,BAR
Melbourne (CBD),118,RESTAURANT
Melbourne (CBD),300,BAR
Melbourne (CBD),50,BAR
Melbourne (CBD),72,CLUB
Melbourne (CBD),440,BAR
Melbourne (CBD),200,BAR
Melbourne (CBD),145,BAR
Melbourne (CBD),156,RESTAURANT
Melbourne (CBD),60,BAR
Melbourne (CBD),486,HOTEL
Melbourne (CBD),170,BAR
Melbourne (CBD),200,CLUB
Melbourne (CBD),300,BAR
Carlton,124,RESTAURANT
Carlton,154,HOTEL
Carlton,100,HOTEL
Carlton,239,HOTEL
Carlton,46,CLUB
Melbourne (CBD),300,HOTEL
Melbourne (CBD),390,HOTEL
Melbourne (CBD),983,HOTEL
Melbourne (CBD),527,RESTAURANT
Melbourne (CBD),200,BAR
Melbourne (CBD),300,HOTEL
Melbourne (CBD),90,CLUB
Melbourne (CBD),145,BAR
Melbourne (CBD),131,HOTEL
Melbourne (CBD),940,HOTEL
Melbourne (CBD),100,HOTEL
Melbourne (CBD),280,CLUB
Melbourne (CBD),50,RESTAURANT
Melbourne (CBD),600,HOTEL
Melbourne (CBD),222,BAR
Melbourne (CBD),410,CLUB
Melbourne (CBD),116,HOTEL
Melbourne (CBD),30,BAR
Melbourne (CBD),1500,HOTEL
Docklands,100,RESTAURANT
Docklands,250,BAR
Docklands,5000,CLUB
Docklands,500,CLUB
Docklands,200,CLUB
Docklands,75,BAR
Docklands,325,BAR
Docklands,70,BAR
Docklands,300,HOTEL
East Melbourne,40,BAR
Kensington,400,PUB
Kensington,90,CLUB
North Melbourne,80,HOTEL
North Melbourne,317,HOTEL
North Melbourne,100,HOTEL
North Melbourne,50,HOTEL
North Melbourne,130,HOTEL
North Melbourne,150,CLUB
North Melbourne,180,BAR
North Melbourne,100,HOTEL
North Melbourne,50,RESTAURANT
Parkville,611,CLUB
Parkville,69,HOTEL
Parkville,200,BAR
Southbank,549,PUB
Southbank,200,RESTAURANT
Southbank,638,RESTAURANT
Southbank,450,CLUB
Southbank,100,RESTAURANT
Southbank,300,BAR
Southbank,80,BAR
Southbank,100,BAR
Southbank,100,BAR
Southbank,508,BAR
Southbank,650,BAR
South Yarra,245,HOTEL
Melbourne (Remainder),120,HOTEL
West Melbourne (Residential),160,HOTEL
West Melbourne (Residential),150,HOTEL
