CensusYear,Range,NumberofPlaces
2002,1,35
2002,2,43
2002,3,13
2002,4,4
2002,5,1
2002,10,1
2003,1,37
2003,2,44
2003,3,16
2003,4,4
2003,5,1
2003,10,1
2004,1,52
2004,2,55
2004,3,16
2004,4,4
2004,5,2
2004,7,1
2004,10,1
2005,1,60
2005,2,60
2005,3,17
2005,4,6
2005,5,2
2005,6,1
2005,7,1
2005,10,1
2006,1,63
2006,2,67
2006,3,21
2006,4,9
2006,5,2
2006,6,1
2006,7,2
2006,8,1
2006,10,1
2007,1,71
2007,2,73
2007,3,19
2007,4,11
2007,5,2
2007,6,1
2007,7,2
2007,8,1
2007,10,1
2008,1,82
2008,2,75
2008,3,24
2008,4,13
2008,5,5
2008,6,1
2008,7,1
2008,8,2
2008,10,1
2009,1,93
2009,2,77
2009,3,28
2009,4,14
2009,5,4
2009,6,1
2009,7,1
2009,8,3
2009,10,1
2010,1,101
2010,2,84
2010,3,28
2010,4,15
2010,5,6
2010,6,1
2010,8,2
2010,10,1
2011,1,102
2011,2,87
2011,3,35
2011,4,16
2011,5,7
2011,6,2
2011,8,2
2011,10,1
2012,1,102
2012,2,92
2012,3,36
2012,4,16
2012,5,7
2012,6,2
2012,8,2
2012,10,1
2013,1,100
2013,2,90
2013,3,36
2013,4,17
2013,5,6
2013,6,2
2013,8,3
2013,10,1
2014,1,111
2014,2,91
2014,3,33
2014,4,15
2014,5,7
2014,6,4
2014,8,3
2014,10,2
2015,1,119
2015,2,91
2015,3,34
2015,4,16
2015,5,6
2015,6,5
2015,8,3
2015,10,2
2016,1,122
2016,2,89
2016,3,34
2016,4,16
2016,5,6
2016,6,5
2016,8,3
2016,10,2
2017,1,116
2017,2,85
2017,3,31
2017,4,13
2017,5,9
2017,6,4
2017,8,3
2017,10,2
2018,1,114
2018,2,81
2018,3,28
2018,4,13
2018,5,11
2018,6,4
2018,8,3
2018,10,2
